AGE,GENDER,POLICYSTATUS,PREMIUMFREQUENCY,POLICYTERM,INTERESTRATE,SUMASSURED,PREMIUM
70,0,1,1,20,98,1000000,65754.55
59,0,1,1,27,115,760000,12251.1
50,0,1,1,23,115,180000,5427.89
52,0,1,1,20,115,170000,13734.65
47,0,1,1,25,98,1300000,9044.41
49,0,1,1,23,115,350000,39880.93
60,0,1,1,19,115,350000,30638.46
59,0,1,1,21,115,395000,37726.57
51,0,1,1,24,115,680000,67541.32
49,0,1,1,28,115,600000,17000.35
60,0,1,1,15,115,270000,21648.77
42,0,1,1,26,105,1150000,140479.78
54,0,1,1,26,115,195000,67175.43
58,0,1,1,28,115,500000,47110.28
47,0,1,1,26,115,500000,45130.96
47,0,1,1,29,115,400000,35064.86
41,0,1,1,23,115,600000,41983.22
52,0,1,1,28,105,280000,73765.23
51,0,1,1,27,115,450000,94023.49
70,0,1,1,20,115,1080000,677839.14
65,0,1,1,20,115,670000,61818.01
68,0,1,1,19,105,1960000,565015.24
67,0,1,1,15,115,360000,7860.43
59,0,1,1,27,115,790000,167567.21
41,0,1,1,29,115,180000,30511.63
59,0,1,1,22,115,230000,14959.53
60,0,1,1,16,105,750000,164076.44
57,0,1,1,27,115,470000,22758.33
59,0,1,1,24,115,700000,42044.83
63,0,1,1,15,115,620000,6987.27
45,0,1,1,27,115,143000,13690.25
61,0,1,1,16,115,650000,129588.93
47,0,1,1,26,115,800000,414732.04
60,0,1,1,20,98,1575000,24264.75
52,0,1,1,22,115,200000,114201.37
52,0,1,1,21,105,290000,34075.81
44,0,1,1,21,105,590000,10774.8
52,0,1,1,24,115,500000,101980.91
48,0,1,1,22,105,2800000,147246.18
58,0,1,1,20,115,1900000,299940.64
41,0,1,1,28,115,1120000,110375.76
49,0,1,1,25,115,3600000,311765.68
48,0,1,1,22,115,260000,131416.78
60,0,1,1,20,105,500000,111433.8
46,0,1,1,25,105,357000,37625.54
45,0,1,1,21,115,430000,33580.72
51,0,1,1,23,115,920000,398184.89
52,0,1,1,24,105,190000,13979.22
60,0,1,1,15,115,170000,32541.5
61,0,1,1,17,105,1430000,177099.48
64,0,1,1,19,115,330000,29977.02
48,0,1,1,27,115,500000,175511.78
58,0,1,1,23,115,110000,10061.5
64,0,1,1,20,105,900000,449741.43
49,0,1,1,30,115,400000,38007.04
68,0,1,1,18,115,547000,316065.04
53,0,1,1,20,115,1370000,596.79
44,0,1,1,20,115,450000,24179.19
53,0,1,1,29,115,280000,174718.3
65,0,1,1,17,115,300000,15276.94
54,0,1,1,22,115,1500000,120391.77
64,0,1,1,19,105,550000,86343.99
53,0,1,1,21,115,240000,19116.41
40,0,1,1,20,105,1300000,18398.79
67,0,1,1,19,115,180000,14316.16
67,0,1,1,15,105,272000,134725.42
45,0,1,1,29,115,830000,161004.57
56,0,1,1,22,105,230000,350878.54
49,0,1,1,26,115,990000,91580.4
43,0,1,1,29,115,1150000,90758.46
52,0,1,1,20,115,690000,65972.93
67,0,1,1,20,115,790000,73608.81
48,0,1,1,25,115,950000,44392.93
67,0,1,1,20,115,790000,153844.21
59,0,1,1,26,115,450000,39358.73
48,0,1,1,21,115,185000,16313.85
63,0,1,1,16,105,560000,36610.52
56,0,1,1,24,115,550000,50880.64
48,0,1,1,29,105,596000,44348.83
61,0,1,1,20,115,800000,35486.51
50,0,1,1,28,115,800000,5439.55
41,0,1,1,20,115,110000,21616.36
45,0,1,1,30,105,385000,421733.92
55,0,1,1,30,105,390000,36177.35
67,0,1,1,19,115,440000,92158.27
41,0,1,1,23,105,350000,113001
55,0,1,1,20,98,1400000,144351.43
67,0,1,1,15,115,750000,71206.12
70,0,1,1,16,115,410000,248127.68
49,0,1,1,28,115,320000,28535.73
41,0,1,1,29,115,620000,261112.48
66,0,1,1,20,105,360000,8922.41
68,0,1,1,15,115,630000,204007.85
57,0,1,1,25,115,640000,123274.99
69,0,1,1,19,115,1800000,161448.12
61,0,1,1,20,15,1788891,62193.61
55,0,1,1,20,115,3000000,281203.04
40,0,1,1,21,115,910000,80538.95
67,0,1,1,15,15,1788891,190096.41
70,0,1,1,18,115,500000,98962.21
53,0,1,1,20,115,300000,23131.27
62,0,1,1,15,105,300000,52203.46
70,0,1,1,15,15,1949877,138153.24
59,0,1,1,23,115,450000,29918.91
54,0,1,1,29,115,397000,2754.97
66,0,1,1,17,115,290000,26058.35
70,0,1,1,20,98,650000,106244.56
54,0,1,1,21,115,240000,20124.29
54,0,1,1,30,115,290000,24100.18
62,0,1,1,19,115,400000,125366.14
46,0,1,1,22,105,1000000,7159.21
58,0,1,1,20,115,500000,44161.97
64,0,1,1,18,115,800000,145891.33
47,0,1,1,21,115,990000,175377.65
68,0,1,1,15,105,600000,282.83
42,0,1,1,20,105,1000000,469.39
48,0,1,1,25,115,300000,41571.71
55,0,1,1,20,115,550000,289824.97
48,0,1,1,27,105,990000,104006.01
70,0,1,1,20,105,665000,61493.78
59,0,1,1,26,115,900000,418390.81
62,0,1,1,17,115,270000,50129.56
70,0,1,1,20,115,870000,34604
55,0,1,1,20,115,360000,3995.72
58,0,1,1,26,105,1500000,199821.72
61,0,1,1,20,105,920000,20377.96
56,0,1,1,26,115,140000,16935.66
47,0,1,1,23,115,470000,91293.76
68,0,1,1,17,105,235000,202956.28
49,0,1,1,30,105,660000,4891.08
41,0,1,1,30,115,1300000,458181.1
61,0,1,1,18,105,1000000,330541.1
60,0,1,1,19,115,301000,30798.55
67,0,1,1,19,98,2050000,14461.73
59,0,1,1,29,98,780000,91504.43
61,0,1,1,15,105,742000,177054.64
42,0,1,1,22,105,800000,90.66
64,0,1,1,16,105,820000,409871.27
49,0,1,1,27,115,150000,0.26
48,0,1,1,25,98,330000,10847.46
55,0,1,1,30,25,21390000,125019.72
66,0,1,1,19,115,200000,387567.62
53,0,1,1,27,105,465000,44296.64
40,0,1,1,28,98,510000,19780.03
61,0,1,1,18,105,320000,36190.46
48,0,1,1,21,105,188000,47793.24
41,0,1,1,30,105,234000,81.31
49,0,1,1,23,98,760000,15805.47
53,0,1,1,25,115,758000,1485143.55
64,0,1,1,17,115,470000,63077.92
49,0,1,1,25,105,1530000,2694041.87
42,0,1,1,29,105,415000,93185.42
61,0,1,1,17,105,340000,160071.28
41,0,1,1,27,98,550000,79435.48
59,0,1,1,21,105,1800000,24282.94
55,0,1,1,28,105,1250000,6061.94
43,0,1,1,30,98,720000,16803.93
62,0,1,1,15,98,265000,6308.46
51,0,1,1,26,105,215000,381197.56
42,0,1,1,30,98,220000,124409.76
68,0,1,1,19,98,350000,28311.69
42,0,1,1,29,98,4000000,6916.05
40,0,1,1,29,105,155000,9788.04
56,0,1,1,25,115,490000,39032.71
65,0,1,1,17,115,210000,269112.7
58,0,1,1,29,105,1000000,409804.69
68,0,1,1,17,105,1000000,383782.92
65,0,1,1,16,200,9875000,13375.02
51,0,1,1,25,105,1720000,157741.1
